Simplified Chinese,Pinyin,Meaning,Audio
好,hǎo,"to be fond of, to have a tendency to, to be prone to",[sound:好.mp3]
好吃,hǎochī,"to be fond of eating, to be gluttonous",[sound:好吃.mp3]
好看,hǎokàn,"good-looking, nice-looking, good (of a movie, book, TV show etc), embarrassed, humiliated",[sound:好看.mp3]
好听,hǎotīng,pleasant to hear,[sound:好听.mp3]
好玩儿,hǎowánér,"interesting, delightful, amusing",[sound:好玩儿.mp3]
号,hào,"ordinal number, day of a month, mark, sign, business establishment, size, ship suffix, horn (wind instrument), bugle call, assumed name, to take a pulse, classifier used to indicate number of people",[sound:号.mp3]
喝,hē,to shout loudly,[sound:喝.mp3]
和,hé,"old variant of 和[he2], harmonious",[sound:和.mp3]
很,hěn,"(adverb of degree), quite, very, awfully",[sound:很.mp3]
后,hòu,"back, behind, rear, afterwards, after, later",[sound:后.mp3]
后边,hòubiān,"back, rear, behind",[sound:后边.mp3]
后天,hòutiān,"the day after tomorrow, post-natal, acquired (not innate), a posteriori",[sound:后天.mp3]
花,huā,"variant of 花[hua1], flower, blossom, also pr. [wei3]",[sound:花.mp3]
话,huà,old variant of 話|话[hua4],[sound:话.mp3]
坏,huài,"bad, spoiled, broken, to break down, (suffix) to the utmost",[sound:坏.mp3]
"还 verb",huán,"to pay back, to return",[sound:还2.mp3]
回,húi,variant of 迴|回[hui2],[sound:回.mp3]
回答,húidá,"to reply, to answer, the answer, CL:個|个[ge4]",[sound:回答.mp3]
回到,húidào,to return to,[sound:回到.mp3]
回家,húijiā,to return home,[sound:回家.mp3]
回来,húilái,"to return, to come back",[sound:回来.mp3]
回去,húiqù,"to return, to go back",[sound:回去.mp3]
会,hùi,"to balance an account, accountancy, accounting",[sound:会.mp3]
火车,huǒchē,"train, CL:列[lie4],節|节[jie2],班[ban1],趟[tang4]",[sound:火车.mp3]
机场,jīcháng,"airport, airfield, CL:家[jia1],處|处[chu4]",[sound:机场.mp3]
机票,jīpiào,"air ticket, passenger ticket, CL:張|张[zhang1]",[sound:机票.mp3]
鸡蛋,jīdàn,"(chicken) egg, hen's egg, CL:個|个[ge4],打[da2]",[sound:鸡蛋.mp3]
几,jī,"how much, how many, several, a few",[sound:几.mp3]
记,jì,"to record, to note, to memorize, to remember, mark, sign, classifier for blows, kicks, shots",[sound:记.mp3]
记得,jìdé,to remember,[sound:记得.mp3]
记住,jìzhù,"to remember, to bear in mind, to learn by heart",[sound:记住.mp3]
家,jiā,"home, family, (polite) my (sister, uncle etc), classifier for families or businesses, refers to the philosophical schools of pre-Han China, noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian, CL:個|个[ge4]",[sound:家.mp3]
家里,jiālǐ,home,[sound:家里.mp3]
家人,jiārén,"household, (one's) family",[sound:家人.mp3]
间,jiān,"gap, to separate, to thin out (seedlings), to sow discontent",[sound:间.mp3]
见,jiàn,"to appear, also written 現|现[xian4]",[sound:见.mp3]
见面,jiànmiàn,"to meet, to see each other, CL:次[ci4]",[sound:见面.mp3]
教,jiào,"religion, teaching, to make, to cause, to tell",[sound:教.mp3]
叫,jiào,variant of 叫[jiao4],[sound:叫.mp3]
教学楼,jiàoxuélóu,"teaching block, school building",[sound:教学楼.mp3]
姐姐,jiějiě,"older sister, CL:個|个[ge4]",[sound:姐姐.mp3]
介绍,jièshào,"to introduce (sb to sb), to give a presentation, to present (sb for a job etc), introduction",[sound:介绍.mp3]
今年,jīnnián,this year,[sound:今年.mp3]
今天,jīntiān,"today, at the present, now",[sound:今天.mp3]
进,jìn,"to go forward, to advance, to go in, to enter, to put in, to submit, to take in, to admit, (math.) base of a number system, classifier for sections in a building or residential compound",[sound:进.mp3]
进来,jìnlái,to come in,[sound:进来.mp3]
进去,jìnqù,to go in,[sound:进去.mp3]
九,jǐu,"nine, 9",[sound:九.mp3]
就,jìu,"at once, right away, only, just (emphasis), as early as, already, as soon as, then, in that case, as many as, even if, to approach, to move towards, to undertake, to engage in, to suffer, subjected to, to accomplish, to take advantage of, to go with (of foods), with regard to, concerning",[sound:就.mp3]
觉得,juédé,"to think, to feel",[sound:觉得.mp3]
